time,open,high,low,close,volume,change,changePct,ref,symbol
2020-12-31,1059.16,1074.02,1058.9,1070.77,136030310,,,,VN30
2021-01-04,1072.44,1097.61,1072.44,1091.87,233730100,21.09999999999991,1.970544561390393,1070.77,VN30
2021-01-05,1090.71,1106.29,1086.07,1104.3,191641100,12.430000000000064,1.1384139137443163,1091.87,VN30
2021-01-06,1105.74,1125.63,1104.3,1113.72,225226500,9.420000000000073,0.853029068187999,1104.3,VN30
2021-01-07,1113.88,1130.59,1113.72,1130.59,215401400,16.86999999999989,1.5147433825377914,1113.72,VN30
2021-01-08,1131.0,1156.38,1131.0,1147.86,220086200,17.269999999999982,1.5275210288433458,1130.59,VN30
2021-01-11,1148.06,1165.99,1148.06,1163.4,222792000,15.540000000000191,1.3538236370289227,1147.86,VN30
2021-01-12,1163.44,1169.38,1155.9,1169.03,202517400,5.629999999999882,0.4839264225545712,1163.4,VN30
2021-01-13,1169.16,1178.44,1161.87,1164.57,187356100,-4.460000000000036,-0.38151287819816737,1169.03,VN30
2021-01-14,1165.22,1169.97,1156.58,1168.99,229616000,4.420000000000073,0.3795392290716808,1164.57,VN30
2021-01-15,1169.27,1185.46,1168.99,1182.2,211717400,13.210000000000036,1.1300353296435415,1168.99,VN30
2021-01-18,1183.25,1188.53,1171.96,1173.34,199288900,-8.860000000000127,-0.7494501776349287,1182.2,VN30
2021-01-19,1173.27,1173.61,1098.47,1107.32,324705300,-66.01999999999998,-5.626672575724,1173.34,VN30
2021-01-20,1108.92,1121.97,1073.13,1116.21,262600200,8.8900000000001,0.802839287649469,1107.32,VN30
2021-01-21,1116.21,1152.9,1114.26,1151.3,204600400,35.08999999999992,3.1436736814757005,1116.21,VN30
2021-01-22,1151.3,1164.45,1147.88,1156.58,210394400,5.279999999999973,0.45861200382176437,1151.3,VN30
2021-01-25,1156.55,1164.7,1149.26,1154.29,198478400,-2.2899999999999636,-0.197997544484598,1156.58,VN30
2021-01-26,1153.94,1155.32,1107.54,1125.09,236714100,-29.200000000000045,-2.5296935778703835,1154.29,VN30
2021-01-27,1122.92,1125.25,1073.74,1083.63,241013700,-41.45999999999981,-3.685038530250897,1125.09,VN30
2021-01-28,1080.83,1080.83,1008.53,1010.75,282129400,-72.88000000000011,-6.725542851342257,1083.63,VN30
2021-01-29,1009.96,1070.05,978.85,1048.31,242653600,37.559999999999945,3.7160524363096656,1010.75,VN30
2021-02-01,1048.01,1068.93,1029.21,1029.86,175342500,-18.450000000000045,-1.7599755797426377,1048.31,VN30
2021-02-02,1029.55,1079.87,1025.18,1079.7,162837100,49.840000000000146,4.839492746586929,1029.86,VN30
2021-02-03,1080.23,1122.04,1079.7,1117.98,204897000,38.27999999999997,3.545429285912751,1079.7,VN30
2021-02-04,1117.52,1126.64,1103.11,1117.74,155634900,-0.2400000000000091,-0.021467289218054804,1117.98,VN30
2021-02-05,1117.92,1135.5,1117.74,1135.5,139783900,17.75999999999999,1.5889205002952378,1117.74,VN30
2021-02-08,1135.5,1136.38,1077.4,1093.84,227815900,-41.66000000000008,-3.6688683399383604,1135.5,VN30
2021-02-09,1092.67,1129.49,1089.85,1129.49,173192200,35.65000000000009,3.259160389087992,1093.84,VN30
2021-02-17,1130.19,1174.91,1129.49,1174.91,174115900,45.42000000000007,4.021283942310252,1129.49,VN30
2021-02-18,1174.8,1187.94,1162.48,1187.94,183246200,13.029999999999973,1.1090211165110495,1174.91,VN30
2021-02-19,1186.7,1188.61,1168.18,1180.59,166179400,-7.350000000000136,-0.6187181170766315,1187.94,VN30
2021-02-22,1180.48,1190.48,1172.71,1180.55,175256400,-0.03999999999996362,-0.0033881364402513683,1180.59,VN30
2021-02-23,1180.38,1191.74,1174.18,1182.47,195049200,1.9200000000000728,0.1626360594638154,1180.55,VN30
2021-02-24,1182.76,1192.04,1161.13,1167.18,178724400,-15.289999999999964,-1.293056060618871,1182.47,VN30
2021-02-25,1168.22,1175.19,1158.06,1169.82,158378900,2.6399999999998727,0.2261861923610645,1167.18,VN30
2021-02-26,1169.37,1175.4,1153.41,1173.6,178992100,3.7799999999999727,0.3231266348669003,1169.82,VN30
2021-03-01,1173.72,1192.85,1173.6,1191.83,191028700,18.230000000000018,1.5533401499659185,1173.6,VN30
2021-03-02,1192.6,1203.84,1188.01,1194.71,169421200,2.880000000000109,0.24164520107734402,1191.83,VN30
2021-03-03,1194.78,1198.36,1189.14,1195.6,154440900,0.8899999999998727,0.07449506574816253,1194.71,VN30
2021-03-04,1195.62,1200.42,1164.63,1174.29,183128200,-21.309999999999945,-1.7823686851789853,1195.6,VN30
2021-03-05,1174.36,1174.8,1157.45,1174.16,204819700,-0.12999999999988177,-0.011070519207340757,1174.29,VN30
2021-03-08,1175.19,1186.29,1164.78,1170.0,164933700,-4.160000000000082,-0.3542958370239219,1174.16,VN30
2021-03-09,1169.89,1170.0,1150.18,1163.0,159976000,-7.0,-0.5982905982905984,1170.0,VN30
2021-03-10,1163.43,1173.58,1154.29,1172.26,156010800,9.259999999999991,0.7962166809974197,1163.0,VN30
2021-03-11,1172.94,1190.47,1172.94,1188.71,167311800,16.450000000000045,1.4032723116032317,1172.26,VN30
2021-03-12,1188.74,1193.97,1184.64,1187.81,147251900,-0.900000000000091,-0.07571232680806007,1188.71,VN30
2021-03-15,1187.84,1194.29,1184.32,1190.86,149674500,3.0499999999999545,0.2567750734545049,1187.81,VN30
2021-03-16,1191.08,1192.15,1177.05,1187.84,163858900,-3.019999999999982,-0.2535982399274459,1190.86,VN30
2021-03-17,1188.31,1193.45,1183.83,1193.45,193596700,5.610000000000127,0.47228582974139005,1187.84,VN30
2021-03-18,1193.71,1211.54,1193.71,1211.54,155167300,18.089999999999918,1.5157735975533049,1193.45,VN30
2021-03-19,1211.08,1211.54,1201.17,1203.36,171417400,-8.180000000000064,-0.6751737458111218,1211.54,VN30
2021-03-22,1204.0,1207.28,1194.79,1198.54,161297800,-4.819999999999936,-0.4005451402738945,1203.36,VN30
2021-03-23,1198.49,1198.54,1182.22,1186.98,155689000,-11.559999999999945,-0.9645068166268915,1198.54,VN30
2021-03-24,1186.04,1186.98,1157.69,1167.49,189329400,-19.49000000000001,-1.6419821732463906,1186.98,VN30
2021-03-25,1165.8,1175.86,1159.25,1164.64,165895200,-2.849999999999909,-0.24411343994380327,1167.49,VN30
2021-03-26,1164.38,1170.75,1143.08,1167.19,172710300,2.5499999999999545,0.21895177909053049,1164.64,VN30
2021-03-29,1167.3,1182.06,1167.3,1180.07,145667400,12.879999999999882,1.1035049991860693,1167.19,VN30
2021-03-30,1180.21,1192.9,1175.9,1190.86,217511900,10.789999999999964,0.9143525384087353,1180.07,VN30
2021-03-31,1190.86,1203.18,1189.47,1196.24,171904000,5.380000000000109,0.45177434795023,1190.86,VN30
2021-04-01,1196.62,1227.56,1196.24,1226.16,222239500,29.920000000000073,2.5011703337123046,1196.24,VN30
2021-04-02,1226.84,1243.67,1226.84,1238.03,199249300,11.86999999999989,0.9680628955438025,1226.16,VN30
2021-04-05,1240.24,1256.12,1238.03,1249.9,219162300,11.870000000000118,0.9587812896295015,1238.03,VN30
2021-04-06,1248.43,1260.35,1245.16,1255.36,222982600,5.459999999999809,0.4368349467957284,1249.9,VN30
2021-04-07,1255.36,1257.77,1248.15,1257.77,213314200,2.410000000000082,0.19197680346674117,1255.36,VN30
2021-04-08,1257.75,1263.03,1249.45,1251.81,161341700,-5.960000000000036,-0.47385452030180686,1257.77,VN30
2021-04-09,1251.71,1256.06,1245.26,1253.26,173791500,1.4500000000000455,0.11583227486599768,1251.81,VN30
2021-04-12,1254.39,1279.52,1253.26,1278.19,267960600,24.930000000000064,1.9892121347525704,1253.26,VN30
2021-04-13,1278.31,1298.78,1276.74,1277.35,255773400,-0.8400000000001455,-0.06571792925935467,1278.19,VN30
2021-04-14,1277.31,1290.77,1263.89,1290.77,207521100,13.420000000000073,1.0506125963909714,1277.35,VN30
2021-04-15,1291.83,1300.84,1283.98,1284.2,236678100,-6.569999999999936,-0.5089985047684666,1290.77,VN30
2021-04-16,1283.18,1291.37,1262.52,1276.87,247667200,-7.330000000000155,-0.5707833670767913,1284.2,VN30
2021-04-19,1277.11,1306.22,1271.52,1306.22,210596900,29.350000000000136,2.298589519684865,1276.87,VN30
2021-04-20,1308.03,1331.56,1303.68,1312.68,244920500,6.460000000000036,0.4945568127880477,1306.22,VN30
2021-04-22,1312.33,1317.5,1271.53,1271.53,232535000,-41.15000000000009,-3.134808178687882,1312.68,VN30
2021-04-23,1271.52,1301.39,1262.89,1301.39,245629900,29.860000000000127,2.3483519854034216,1271.53,VN30
2021-04-26,1301.39,1305.73,1269.78,1275.04,216946500,-26.350000000000136,-2.02475814321611,1301.39,VN30
